order_number,well_number,approval_date,year
329257.0,39-3,1988-08-15,1988
355706.0,1-10,1991-04-01,1991
1205140091.0,22-1,2012-04-02,2012
309060.0,1,1987-02-23,1987
559357.0,38-1,2008-09-11,2008
379918.0,1-17,1994-02-07,1994
374469.0,41-1,1993-06-09,1993
461463.0,23-1,2002-03-07,2002
173592.0,11-1A,1980-07-31,1980
800017.0,1-9,1997-11-21,1997
237681.0,56G-2,1983-04-29,1983
319510.0,44GI-2,1987-12-01,1987
394122.0,13G-2,1995-07-24,1995
318980.0,23GI-2,1987-11-16,1987
318981.0,21GI-2,1987-11-16,1987
304074.0,8-3,1986-10-14,1986
1105860035.0,1,2011-05-10,2011
422927.0,A6,1998-05-06,1998
354099.0,1-8,1991-02-08,1991
361494.0,11,1991-11-18,1991
316457.0,6-21,1987-09-04,1987
323491.0,7-24,1988-03-23,1988
323490.0,7-25,1988-03-23,1988
1604330025.0,5-14,2016-01-22,2016
1302040009.0,9-14,2013-05-08,2013
329967.0,7-30,1988-09-06,1988
329968.0,8-11,1988-09-06,1988
543777.0,4,2007-09-04,2007
543881.0,9,2007-09-06,2007
422928.0,17,1998-05-06,1998
381642.0,A-8,1994-03-30,1994
369123.0,7,1992-10-21,1992
381641.0,8,1994-03-30,1994
385521.0,10,1994-08-17,1994
543775.0,14,2007-09-04,2007
1603180088.0,16,2015-12-04,2015
485106.0,5-1A,2004-01-14,2004
422939.0,102,1998-05-06,1998
422936.0,107,1998-05-06,1998
422938.0,104,1998-05-06,1998
422937.0,105,1998-05-06,1998
423593.0,109,1998-06-01,1998
422925.0,108,1998-05-06,1998
1206800038.0,1SWD,2011-08-24,2011
474027.0,37-3H,2003-03-28,2003
543778.0,24,2007-09-04,2007
546355.0,26,2007-11-07,2007
1401270062.0,1-26,2013-10-25,2013
1107800212.0,1 SWDW,2011-08-18,2011
1408320058.0,6-24,2014-07-24,2014
1507750054.0,5-15,2015-06-19,2015
1402290020.0,2,2014-02-21,2014
1708980046.0,1-5 SWD,2017-05-12,2017
80143.0,1,1970-05-06,1970
348544.0,     1,1990-07-11,1990
325689.0,1,1988-05-11,1988
293393.0,1,1986-02-24,1986
76043.0,B1,1969-08-15,1969
1206930006.0,5-7,2012-10-30,2012
423062.0,3,1998-05-12,1998
1408050043.0,5,2014-11-13,2014
1305980028.0,4,2013-10-14,2013
422926.0,12,1998-05-06,1998
1305980027.0,4,2013-09-19,2013
371175.0,1,1993-01-14,1993
423097.0,A-1,1998-05-13,1998
31864.0,D-2,1956-02-29,1956
66228.0,1-A,1967-05-29,1967
362443.0,2,1992-01-06,1992
413506.0,24-4,1997-06-23,1997
86166.0,36-5,1971-08-16,1971
86166.0,23-6,1971-08-16,1971
247754.0,7-1,1983-11-02,1983
269610.0,1-7,1984-12-04,1984
36272.0,1,1958-01-06,1958
335720.0,A2-10,1989-02-22,1989
100470.0,1-1,1973-10-10,1973
459488.0,5,2002-01-03,2002
263319.0,4-7,1984-08-01,1984
314636.0,1,1987-07-15,1987
