well_number,latitude,longitude,zone
2174,36.5347966,-100.8976148,MORROW 
2,36.5491842,-100.4708126,MORROW
1,36.5203033,-100.9110547,WOLFCAMP
6-2,36.5546763,-100.8325393,MORROW
5-1A,36.5529195,-100.82577,MORROW
17-2,36.5347685,-100.8257679,MORROW
9-2,36.5492274,-100.8438409,MORROW
14-3,36.5311433,-100.8302422,MORROW
2872,36.5166895,-100.9065099,MORROW 
2271,36.5347972,-100.8885816,MORROW 
2641,36.5275646,-100.8795405,MORROW 
2741,36.5239366,-100.8975285,MORROW 
2751,36.5167022,-100.8974602,MORROW 
3112,36.509174,-100.9424756,MORROW 
3161,36.5052653,-100.9470528,MORROW 
3551,36.5017695,-100.8795193,MORROW 
2772,36.516679,-100.8839972,MORROW 
2721,36.5239345,-100.8885658,MORROW 
6X,36.5790512,-100.5482921,MORROW
1531,36.5529386,-100.8974633,MORROW 
3371,36.5016721,-100.9065037,MORROW 
3311,36.5092263,-100.9019593,MORROW 
21-1,36.5312186,-100.920109,MORROW
1-44,36.7527383,-100.1929721,COUNCIL GROVE
2662,36.5166612,-100.8750831,MORROW 
2131,36.5348259,-100.9111318,MORROW 
1,36.854148,-100.212549,CHASE
18-1,36.6326913,-100.8577281,MORROW
7-1,36.6467109,-100.799033,MORROW 
6-3,36.5900411,-100.6011828,MORROW
1 SWD,36.6110093,-100.9024082,BROWN DOLOMITE
1,36.5416565,-100.3090001,"HERRINGTON, KRIDER"
2W,35.334837,-99.4072139,PERMIAN
1,35.2371976,-99.9181926,BROWN DOLOMITE
1,35.2167098,-99.8734156,"BROWN DOLOMITE, GRANITE WASH"
1,35.1566571,-99.8658598,POROUS
1,35.3602935,-99.8634497,BROWN DOLOMITE
1-13,35.3454751,-99.5822818,PERMIAN
1,35.3606007,-99.9510801,BROWN DOLOMITE
1-9,35.362159,-99.8428181,WOLFCAMP
3,35.3738608,-99.5630574,WOLFCAMP
1-26,35.4032345,-99.7015191,BROWN DOLOMITE
3,35.1429468,-99.9046384,GRANITE WASH
34,35.3913782,-99.8373397,"BROWN DOLOMITE, COUNCIL GROVE"
1-12,35.3599794,-99.8002422,WOLFCAMP
3,35.271532,-99.8516227,"BROWN DOLOMITE, ERICK LIME,  GRANITE WASH, HOXBAR"
24-1,35.3244194,-99.7919452,WOLFCAMP
1-2,35.3746761,-99.8179343,BROWN DOLOMITE
1-34,35.2129678,-99.8289687,"BROWN DOLOMITE, GRANITE WASH"
6-33,35.1219462,-99.7452753,GRANITE WASH
1,35.2705833,-99.4024444,BROWN DOLOMITE
1-18,35.3482268,-99.8767521,PERMIAN
2 SWD,35.2701432,-99.40696,"  DES MOINES, GRANITE WASH, HOXBAR, PENN"
1-20,35.4201587,-99.6523862,BROWN DOLOMITE
1,35.2598644,-99.8260745,BROWN DOLOMITE
1,35.3347776,-99.4045149,PERMIAN
7,35.1211884,-99.4532554,GRANITE WASH
1A-36,35.9040783,-98.4339236,VIRGILIAN
1-22,35.764938,-98.3538614,CHASE
1,35.8746784,-98.4140781,CHASE
1D,35.8356899,-98.3974025,CHASE
1-32,35.9022328,-98.391743,ENDICOTT
1-9,35.8810097,-98.4858026,"ENDICOTT, PAWHUSKA, PONTOTOC, TONKAWA"
1-27,35.9184639,-98.4647081," ELGIN, PONTOTOC, TONKAWA"
1,36.026451,-98.57632,VIRGILIAN
1,35.7940559,-98.458958,"PENN, PERMIAN"
1-A,35.8684432,-98.4881598,"PERMIAN, PONTOTOC"
1,35.902327,-98.50779,"ELGIN, PONTOTOC "
SWD,35.9511102,-98.516127,"PONTOTOC, VIRGIL SANDS"
1,35.6653901,-98.3246394,"PENN, PERMIAN"
1-5,35.8935357,-98.505596,ELGIN
1,35.7504429,-98.3792545,PERMIAN
1-26 SWD,35.8388305,-98.2311041,TONKAWA
1-19,35.851536,-98.512332,"ENDICOTT,  ELGIN"
1,35.7903004,-98.3684092,PERMIAN
1,36.12103,-98.50928,"COTTAGE GROVE, DOUGLAS "
1,35.6491335,-98.3970314,PENNSYLVANIA
1,35.6944087,-98.3616265,"BROWN DOLOMITE, PERMIAN, PONTOTOC "
1-30,35.8343652,-98.4037779,DOUGLAS
1-8,35.8827509,-98.3905642,"COTTAGE GROVE, ENDICOTT"
1,36.082731,-98.47328,VIRGILIAN
1-29,35.838888,-98.3997778,"COTTAGE GROVE, ELGIN, ENDICOTT"
