well_number,well_type,well_name,operator_id
16-1,2R,BJPERU (BRIDGEWATER A-2),18934
2,2R,PUGH,2057
11-1,2R,PERU (JOEL),18934
1-24,2D,WEABER,16896
2-1,2R,BJPERU (FOGLEMAN B-2),18934
8-1,2R,BJ PERU,18934
19-1,2R,BJPERU (W.W. 3-31),18934
13-1,2R,BJPERU,18934
1-3,2R,MERU,16896
6-2,2R,MERU,16896
1-26,CDW,WATSON,16198
2-2,2D,DELK SWD,16896
1-35,2RSI,BARBY,17700
1-2,2D,COX,10027
2-35,2D,RALPH,10027
4-1,2RSI,CHOATE,7775
11-2,2R,S ELMWOOD UNIT,7697
1-36,2RSI,BURNS,7775
8-5,2R,MERU,16896
D-14,2R,ADAMS RANCH,22756
1-31,2D,STATE,5481
1-3,2RSI,SIZELOVE,10027
5-16,2D,KIOWA CREEK,21689
5X,2R,HELEN UNIT WIW,18934
4-2,2R,BJ PERU (WIW),18934
1-30,2RSI,DENA,10027
1-10,CDW,SCHMIDT,23431
5-27,2RSI,HANCOCK,10027
10-1,2D,FRONK,16896
2-6,2RSI,DIXON,10027
1,CDW,LUCKY DUCK,18105
6,CDW,HIGH VOLTAGE,18105
1-26,2D,BESSIE,14683
3X,2R,HELEN UNIT WIW,18934
3172,2R,CAMRICK,16896
3062,2R,CAMRICK UNIT,16896
1-24,2D,JACKSON,16711
1,2D,ELIZABETH SWD,22787
3117,2R,CAMRICK,16896
29-1D,2D,PATZKOWSKY,23270
1-19H,2R,CALDWELL SWD,16896
1,CDW,NICHOLS BEAVER,13447
2-19,2D,CALDWELL SWD,16896
1,CDW,BRYANS CORNER EAST SWD,22383
1-1 SWD,2D,DUNCAN,22628
4,2R,PAYDAY,19732
2-21 H,2R,PRICE TRUST ,16711
1,2D,REAL ESTATE,16896
25,2D,BOYD SOUTH 0320 SWD,16896
1SWD,2D,MCGLAMERY,16711
3,CDW,NICHOLS SWD,13447
3,2D,MCFARLAND,18675
2551 SWD,2D,CAMRICK UNIT ,16896
15-1,2R,NW CAMRICK UNIT,16896
3461  ,2R,CAMRICK (J R ANDERSON #1)     ,16896
2811,2R,CAMRICK,16896
3351,2R,CAMRICK (JOHN T. APPLE NO. 2),16896
3341,2R,CAMRICK,16896
2112,2R,CAMRICK UNIT (MARY TOMLIN #2),16896
20-1,2R,W ELMWOOD UNIT,16711
2174,2R,CAMRICK,16896
2,2R,GHEEN,14417
1,2D,CAMRICK,16896
6-2,2R,NW DOWER UNIT,7697
5-1A,2R,NW DOWER UNIT,7697
17-2,2R,NW DOWER UNIT   (J.D. SIMS 2),7697
9-2,2R,NW DOWER UNIT (GUY STEWART 2),7697
14-3,2R,NW DOWER UNIT (JOHN HARRIS 3),7697
2872,2R,CAMRICK UNIT CLARA ALLEN NO. 2,16896
2271,2R,CAMRICK UNIT,16896
2641,2R,CAMRICK UNIT CLOWREY NO. 1,16896
2741,2R,CAMRICK,16896
2751,2R,CAMRICK,16896
3112,2R,CARMRICK UNIT,16896
3161,2R,CAMRICK UNIT,16896
3551,2R,CAMRICK UNIT (SAGER NO. 2),16896
2772,2R,CAMRICK,16896
2721,2R,CAMRICK (SARGENT NO. 1),16896
6X,2R,HELEN UNIT WIW,18934
1531,2R,CAMRICK,16896
3371,2D,CAMRICK,16896
3311,2R,CAMRICK UNIT (L BRANSGROVE 3),16896
21-1,2R,NW CAMRICK UNIT,16896
1-44,2D,BARBY RANCH,10027
2662,2R,CAMRICK (GEORGE LITKE NO. 2),16896
2131,2R,CAMRICK UNIT,16896
1,2D,ALEXANDER,4536
18-1,2R,S BOYD EXTENSION UNIT,19961
7-1,2R,BOYD UNIT,18017
6-3,2R,W ELMWOOD UNIT,16711
1 SWD,2D,PENNER,16711
1,CDW,GETZ,22383
2W,2D,YELTON,21003
1,CDW,MCNUTT,13520
1,CDW,HEAD,23469
1,2D,WHITE,19003
