well_number,well_type,well_name,operator_id
2,2D,NEMECEK,19416
1,CDW,ALEXANDER,22795
1,2D,FESSENBECK,17357
1,2D,NEMECEK,21008
B-3,2D,FRENCH,21008
15,2D,CLEARBROOK (DAISY CLIFTON #1),18890
A1,2D,REYNOLDS,18538
3,2D,COMM. FRANKLIN 'A',18104
12-2,2R,SOUTH MOORE UNIT,22182
3-2,2R,WEST MOORE UNIT,18104
2,2D,EDGAR HARRIS,18104
1,2R,ERNEST DIVIS,18104
2D,2D,NELLIE A. FRY,23922
2,CDW,HOSKINS,21008
1,2R,VIERSEN,18104
A-1,2R,RANGE,18104
2,2D,NOBEL TOWNSITE,20266
2,2D,"GRAY  ""A""",21553
6-1,2R,THOMAS,18104
1,2D,CROSS REED,12871
2,2D,WOODS,4909
3,2D,HUGHES,439
1,CDW,MOWDY,15996
1,2D,BADLEY,19544
2,2R,PARKS-ANDERSON,21422
1,2D,MILLER,21422
1,CDW,STRUNK,23730
1-20,2D,ROLLINS,20830
34-1,CDW,JOSH,23815
1-27,CDW,ROBINS,21422
2-30,2D,VAN HALEN,21261
11-1,CDW,CLARITA,23088
2-10,2D,DOUBLE 5 RANCH,22182
1,2D,ORVILLE SWD,23562
1,2D,BRAVO SWD,23562
A#1,2R,PARKS-NORRIS,21422
1,2R,STATLER,21422
1,2D,BETASSO,4909
SWDW 1,2D,R H CRIM A,20830
1,2D,PRICE    L.B. DUNLAP,21655
2,2D,CAPSHAW (SCHOOLAND),21502
1,2D,FULLERTON,21308
2,2D,WILSON,21308
4B,2R,MEADVILLE,20572
4,2D,SHULL,3624
2,2D,TROPE,20147
A-5,2R,IDA CLINE,18309
6,2D,DILLING,18309
7,2D,G.T SPENCER,17853
1-A,2D,TAYLOR,21308
1,2D,CHAMBERS/KINSY,21641
1-B,2D,HALLUM,5960
18,2R,HARLESS,19522
2,2R,NEASE,20572
3,2D,PRICE,21655
5,2D,VANDYKE,21655
2A,2D,SCHOOL LAND,21655
23,2R,D & S SCHOOLAND,21655
4,2R,LAKE,21502
1,2D,LS WATSON,22991
1,2D,SCHOOL LAND B,21308
11,2R,LAKE,21502
18,2R,LAKE,21502
6A,2D,SCHOOL LAND,21308
1,2D,TROPE,20147
2,2D,TELFORD,21308
8,2D,GUNN,16535
1-12,2R,WOOLDRIDGE,10399
1-13,2D,STATE,10399
1,2R,ERIN,10399
7,2R,SCHOOL LAND RUBY,18026
8,2D,CONTINENTAL,22280
13,2R,SCHOOL LAND RUBY,18026
3,2R,SWEET SIXTEEN,14886
10,2R,SCHOOL LAND,16555
2-13,2R,HOUSE,10399
2,2D,POWELL,333
7,2R,BERRY,15568
4,2D,CALLOWAY,15568
15,2D,ENRIGHT,15568
3,2D,E.A. SEELY,15568
5,2D,"SEELY, E. A.",15568
1,2D,SIMON,19542
A-6,2D,ORTH,22503
9,2R,ORTH,22503
3W,2R,"PHILLIPS ""B""",21954
7,2D,COOPER,13189
1W,2D,R.O. BROWN,23589
14,2R,R.C. BROWN,23589
2,2R,PRIDDY INJECTION,10964
1,2D,ZIPSIE,19522
B-2,2D,"PRIDDY, G.E.",10964
19,2D,G.G. PRIDDY,22248
19,2R,B. F. PIDDY,22248
3,2R,H. FREEMAN,1680
2,2R,FINK,1680
16,2R,WALTERS FLD UNIT TR 3/WS,17923
12,2R,WALTERS FIELD UNIT TR. 4,17923
15,2R,R.O. BROWN,23589
3,2D,WILEY,10964
6,2D,McDONALD,4565
5,2D,MCDONALD,4565
5,2D,JONES,13189
1,2R,"BEAVER CR UT, SCHOOL LAND",6320
1-A,2D,WILKERSON (1-19),11992
1,2D,TEXACO HENRY,19583
1,2R,WILEY,1680
WIW3,2R,CARR MAIZE,1680
WIW2,2R,CARR MAIZE,1680
3,2R,HILTON,1680
6,2R,PRIDDY SAND WATERFLOOD,1680
1,2D,BROWN,13189
4,2R,CARR-MAIZE,1680
5,2R,CARR-MAIZE (RECORDS),1680
4,2D,HASTY,19737
4,2D,SIMON,6796
1,2R,KENNEDY,22007
1,2D,URICE,21173
7,2D,ZIPSIE,19522
4,2R,CARR,1680
23,2R,R.C. BROWN,23589
A-2,2D,CHAMBERS,12231
27,2R,R.O. BROWN,23589
28,2R,R.O. BROWN,23589
29,2R,R.C. BROWN,23589
2,2D,MINTON,11992
13,2R,HILTON,4565
33-1,2D,HAYES,12231
1,CDW,FRANKLIN,16535
10-2,2R,MCCOY,16535
1,2D,HOOKER,23885
2,2D,PETTY,23375
4,2D,GUNN,14990
3,2D,COKER,23398
21-5,2D,PETTY,23375
3,2D,COOPER,15568
5,2R,GUNN,19737
3,2D,PRIDDY,10964
4,2R,E. COOPER,15568
9,2R,SUTHERLAND,19737
B3,2R,W.L. CHAMBERS,10964
11,2R,SUTHERLAND,19737
60-1,2D,WALTERS,18615
1,2D,DAMRON,11992
2,2D,MALLOW,22248
8,2D,FLANAGAN,11992
19,2D,MATTIE CALLOWAY,15568
16-6T,2D,CLO,11992
1A,2R,COOPER,13189
E-6,2D,OKLAHOMA SCHOOL LAND ,272
21,2R,M.E. CALLOWAY,15568
18,2R,"PHILLIPS ""B""",21954
10,2D,JOHN L. RONE,19800
1,2D,WITT WILDA,21929
2-B,2D,WALTERS FIELD UNIT,17923
6-B,2R,PRIDDY FLD UNIT,17923
41,2D,MARY PATTERSON,22248
44,2D,MARY PATTERSON,22248
1-9,2D,TAYLOR,22680
1-28,2D,CASH,23862
5,2R,MECCA-MASLEN,21476
D-1,2D,RON COATS,13961
1,2D,SHANNON,20764
2,2D,"WHITMORE, J.W.",1235
3,2R,WILEY,21067
1,2R,SPSU TR 13,23934
7-7,2R,WEST ARNO UNIT,15298
2,2D,PAGE,20459
3,2R,OKEMAH,21963
1,2D,FULKERSON,10148
2W,2R,HARRY ECKDAHL,19386
1,2D,BURK,23605
15,2D,MOLLY JONES,23209
3-I,2R,EKDU,10368
1,2D,MICKEY,11199
7-3,2D,MCCRACKIN MANNFORD,22892
10,2R,HILL JONES SD UNIT (GLIMP #3),19386
1,2R,HILL JONES SD UNIT (L.WEST #1),19386
13,2R,HILL JONES SD UNIT (L.WEST #4),19386
8,2R,HILL JONES SD UNIT (L.WEST #8),19386
34,2R,ELLA JONES - SEC 3,23271
35,2R,ELLA JONES - SEC 3,23271
36,2R,ELLA JONES - SEC 3,23271
5,2R,CUSHING CO-OP WF A BRUNER,19386
W-8,2D,BESSIE TOLAN,19386
9,2D,HARJO (POOR FARM),19416
14,2R,T. SCOTT,10368
4,2R,KANTOR,13989
1,2D,J. MORRRISON WSW,11750
42,2D,MANUEL,19386
#9,2D,DIX,10148
8,CDW,GEORGE JONES,10148
14,CDW,MAGNOLIA MICKEY,19289
5,2R,MIKEY,19289
1,2D,M. LOWE,22802
3,2D,IVA M BRUNER,8441
1,2R,SPSU TR 12,23934
1,2R,SPSU TR 14,23934
5-1,2R,"SPSU (MAY, ETAL 1)",23934
6-1,2R,SPSU (WEDDLE 1),23934
12-3,2R,SPSU (JOHN CHARLES 3),23934
11-3,2R,SPSU (WI-3),23934
9-1,2R,SPSU,23934
10-1,2R,SPSU (LASHLEY 1),23934
3,2D,KEMP,23987
5,2D,KIZZIE BEAR,23987
2,2D,EVANS,20128
46-1,2R,SPSU (TOM WALKER #1),23934
18-2,2R,SPSU,23934
42-2,2R,SPSU (ROSIER 2),23934
2-1,2R,SPSU  (MARCHANT 1),23934
3-3,2R,SPSU (AL GRIMM3),23934
8-1,2R,WEST ARNO UNIT  TR 8,15298
45-4,2R,SPSU (ELLE 4),23934
45-6,2R,SPSU (ELLE 6),23934
44-2,2R,SPSU (MULLENS 2),23934
43-1,2R,SPSU (ARRINGTON #1),23934
43-2,2R,SPSU (ARRINGTON #2),23934
41-6,2R,SPSU (CHAPLEY 6),23934
41-1,2R,SPSU (CHAPLEY 1),23934
41-2,2R,SPSU (CHAPLEY 2),23934
41-8,2R,SPSU (CHAPLEY HARJO #8),23934
1,2D,SMITH,5469
37-2,2R,SPSU (FOUSHEE 2),23934
38-2,2R,SPSU (ADAM WILEY HEIRS #2),23934
38-4,2R,SPSU (ADAM WILEY HEIRS #4),23934
36-1,2R,SPSU (ESTATE LAND CO ET AL #1),23934
35-1,2R,SPSU (EST LAND CO 1),23934
35-3,2R,SPSU (ESTATE LAND CO #3),23934
3,2D,DAVIDSON SWD,17501
10,2R,CINDA JONES,21067
2-I,2R,EAST KELLYVILLE DUTCHER UNIT,10368
22,2R,SAM RICHARDS -B.B. JONES,22550
2,2D,OWENS-KOCH,22691
2-2W,2D,OTTON UNIT (EXEMPT),3959
W-9,2R,ELLEN CHARLES,23271
8-A,2D,"ROBERTS, LOUISA",19470
4,2D,"VASSAR, AMANDA    ""A""",7872
D-4,2D,WICY WARNARKEE,23271
2,2D,REPLOGLE,19312
1,2R,DEPEW STORAGE WIW,20643
2,2D,AKIN,20128
1,2D,JOHNSON,8441
S-4,2D,SUDS WATER SYSTEMS,23754
3,2D,JANE WACOCHE,16144
1,2D,ABRAHAM,1235
2,2D,TARR,4209
6,2D,B. DERRISAW,14037
1,2D,ODELL-WRIGHT,21286
4,2D,FOCHT,6613
2,2D,EUGENE FRALEY,20764
2,2D,IRENE ROBERTS,1235
1,2D,IRENE ROBERTS,1235
2-D,2D,BRISTOW (ADA WILIAMS W1),19753
2,2D,PIERPONT,11199
8,2D,HAMMER,1235
W-14,2R,L. MILLER,23271
3,2D,MINNIE DEER,1235
6,2R,R.D.S.U. - J.W. THOMPSON,1235
1,2D,DUNCAN,1225
16,2R,M. WILEY,22550
5,2D,SARAH DEERE,23556
11,2D,ULLIE EAGLE,13989
8,2D,MABLE WILLIS,14665
B-10,2R,"WILSON, E.",19369
1,2D,RUSSELL THOMPSON,22550
34,2R,STEWART FEE,23271
2,2D,PUCKETT-SELLERS,19470
1,2D,PARKS,23556
16,2D,TURNBOW,19470
9,2D,TURNBOW,19470
46,2R,R.S. LITCHFIELD,23271
9,2R,SCHAFFER,23271
4,2D,ESTATE LAND,14665
3,2D,INGALLS,19369
23,2R,B.B. JONES,23271
19,2R,JENNETTA RICHARD,19386
1,2D,CROSBIE-LACEY,8153
W-1,2D,FEE #209,23271
71,2R,T. STANWAITIE,22430
A1,2R,BISHOP,23479
4,2D,RECTOR,20096
2,2R,S LONG,22550
8,2D,CRABTREE,11750
9,2D,WILLIAMS,17677
6,2D,YARNER BEAR,19333
B-1,2D,WARNER,21281
2,2D,SURBER,8441
2,2D,ANTHIS,23412
68W,2R,"STANWATIE, T",16835
10,2D,G.JONES,10148
2B,2D,WHEELER 2B,2234
3-1A,2D,LINK UNIT TR 3 (ROBIN.MICKEY),20976
5,2D,MARY JONES,19470
P-4,2R,BERRYHILL GLENN SAND UNIT 15,16835
8,2D,ELSA SELF A,11750
1,2D,SMITH-DOOLIN,16835
2-B,2D,"JONES, SULLOLY",2234
1,2D,COONROD,22754
6,2D,KIMBY,23000
WS-1,2D,MARTHA BIGPOND,20862
A-3,2D,SIDWELL,21660
1,2D,CROSBIE-LACEY,8153
3,2D,WRIGHT,20128
1,2D,ESTATE LAND,7986
3,2D,ESTATE LAND 10,4209
5,2D,"STEIL, MATT",16136
4W,2R,BP PS UNIT TR 16,13015
2,2D,"RICKS, ETHEL",13682
4,2D,DOTY,22754
1-A,2D,SUSIE CROW,23556
31-SWD,2D,"REYNOLDS, A. E.",16835
15,2R,POWELL,22550
4,2D,LOUISA SCOTT,23556
5,2D,"SCOTT, LOUISA",20780
W-15,2R,E WACOCHE,10148
3,2R,JAMES PIKE,19470
1-B,2D,"WILEY, MOSE",23271
30,2R,ANNIE MEYER,18890
8WS,2D,C. JACOBS 16-8,13989
3,2R,LASHLEY,21067
2,2R,LIZZY DICK,21067
2,2R,FOUNDATION SERAN,21067
2,2D,HOAGLAND,1235
1,2D,SAWYER,19312
1,2D,TONEY ESTATE LAND CO.,18170
1,2D,CARMAN,21916
3A,2D,MARTHA HARJOCEE,11750
6A,2D,FELIX,23556
7-A,2R,SALO FULSOM FELIX,20417
11A,2R,JOB A LAND,15458
29,2R,LINDA YARHOLA,23271
W-2,2R,W.A. NORTON (JEMIMA W-2),22550
28,2R,LINDA YARHOLA,23271
13-5,2R,SPSU,23934
7-6,2R,SPSU,23934
5,2R,LEADER,8153
4-W-2,2R,SHAMROCK ROYALTY UNIT TR 4,22182
52,2R,WM. B. SELF,16835
7A,2D,ONATE JOHNSON,17983
1,2D,McMILLAN,22545
W-12,2R,SAM KEYS 1 & 2,13989
W-10,2R,SHAMROCK ROYALTY UNIT TR 7,22182
10,2R,PETER BROWN,13989
W-4,2R,SHAMROCK ROYALTY UNIT TR. 3,22182
13,2R,ROSE CARR,20814
7-7,2R,SPSU,23934
47,2R,LESTA KEYS,13989
W-44,2R,STEWART FEE,23271
W-45,2R,STEWART FEE,23271
48,2R,LESTA KEYS,13989
49,2R,LESTA KEYS,13989
13-11W,2R,W GLENN SAND UNIT,22141
13W,2R,W.G.S.U.,22141
W-40,2R,STEWART FEE,23271
W-43,2R,STEWART FEE,23271
2,2R,SPSU TR9,23934
3,2R,SPSU TR10,23934
55,2R,R.S. LITCHFIELD,23271
45,2R,SUSANNA DACON,23271
36,2R,EMMA COKER,22550
3-W6,2R,YARHOLA ROYALTY UNIT,16835
2W3,2R,YARHOLA ROYALTY UNIT,16835
5,2D,RODGERS,20096
1,2D,YAHOLA ROYALTY UNIT WSW,16835
2W-1,2R,SGU,17630
2W9,2R,SGU,17630
45,2R,LESTA KEYS,13989
1-W4,2R,SGU,17630
2W7,2R,SGU,17630
2W-8,2R,SGU,17630
W-14,2R,B.W. BERRYHILL,17630
W-10,2R,BAIR,19386
1-W-2,2R,S GLENN UNIT  TR 1,17630
21W,2R,LONG,22550
29,2R,COGEE WEST,23271
46,2D,SUSANNA DACON,23271
2-A,2R,LIVINGSTON OIL COMPANY,23271
35,2R,COGEE WEST,23271
58,2R,R.S. LITCHFIELD,23271
57,2R,R.S. LITCHFIELD,23271
62,2R,R.S. LITCHFIELD,23271
30,2D,HUTTON,19958
1W-12,2R,SGU,17630
W-52,2R,MOSQUITO CREEK DUTCHER SAND UT,22550
34,2R,STARR,22550
29-SWD,2D,FARRIS,23271
J-9X,2R,BERRYHILL GLENN SAND UNIT 11,16835
6E,2R,KATIE BROWN,22550
44,2D,SUSANNA DACON,23271
20,2R,M TIGER,22282
2,2R,DEPEW STORAGE WATER INJ WELL,20643
W2,2R,R.P. RICHARDS,16835
W-3,2R,R.P. RICHARDS,16835
W4,2R,R.P. RICHARDS,16835
31,2R,COGEE WEST,23271
31,2D,HUTTON,19958
35,2D,JOSEPH McNAC,13989
6,2R,HAYDEN,236
4,2R,DEPEW STORAGE WATER INJ WELL,20643
26A,2R,VIDA M. WAY,22550
A-7,2D,SELLERS,6190
W-1,2D,BRYAN STEPHENS,19470
2-A,2D,HENGST,11750
3,2R,DYER ,23934
27,2D,"FISHER, G.W.  SWD",23271
W-17,2R,"SAM KEYS TR ""1""",13989
59,2R,R.S. LITCHFIELD,23271
4,2R,B. MILLER,16112
5,2D,"TIGER ""H""",13989
1,2D,CLARA F. MARRS,23000
7-88,2R,BERRYHILL GLEN SAND UNIT,16835
7-89,2R,BERRYHILL GLENN SAND UNIT,16835
28,2R,COGEE WEST,23271
93,2R,BERRYHILL GLENN SAND UNIT 07,16835
11-77,2R,BERRYHILL GLENN SAND UNIT,16835
76,2R,BERRYHILL GLENN SAND UNIT 11,16835
1,2D,INEZ,19495
1,2D,ANNIE ROBERTS,23556
WI-2,2R,SCOTT DUTCHER SAND UNIT,23797
WI-3,2R,SCOTT DUTCHER SAND UNIT,23797
WI-4,2R,SCOTT DUTCHER SAND UNIT,23797
WI-5,2R,SCOTT DUTCHER SAND UNIT TR 2,23797
WI-6,2R,SCOTT DUTCHER SAND UNIT TR 6,23797
7,2D,L.Y. KING,17677
11-78,2R,BERRYHILL GLENN SAND UNIT,16835
79,2R,BERRYHILL GLENN SAND UNIT 11,16835
2-A,CDW,LUCINDA,22775
4,2R,M. WASHINGTON,20417
2-A,2D,STOLL,23556
6-70,2R,BERRYHILL GLENN SAND UNIT,16835
48,2R,BERRYHILL GLENN SAND UNIT 10,16835
6-G9,2R,BERRYHILL GLENN SAND UNIT,16835
3A,2R,EMMA BARKER,10368
90,2R,"BERRYHILL, WILLIAM",16835
91,2R,"BERRYHILL, WILLIAM",16835
95,2R,"BERRYHILL, WILLIAM",16835
96,2R,"BERRYHILL, WILLIAM",16835
71,2R,BERRYHILL GLENN SAND UNIT 06,16835
95,2R,BERRYHILL GLENN SAND UNIT 07,16835
H6X,2R,BERRYHILL GLENN SAND UNIT 09,16835
K4,2R,BERRYHILL GLENN SAND UNIT 09,16835
2711,2R,SHELTON PONDER DUTCHER SAND UN,10368
1,2R,TUCKER,17983
14,2R,LILLIE JACKSON,19386
H-12X,2R,BERRYHILL GLENN SAND UNIT 07,16835
1,2D,COLLINS,23271
1,2D,LOEFFLER,1235
3,2D,WHEELER,23243
103,2R,"BERRYHILL, WILLIAM",16835
E-13X,2R,BERRYHILL GLENN SAND UNIT 07,16835
E-11,2R,BERRYHILL GLENN SAND UNIT 07,16835
E-9X,2R,BERRYHILL GLENN SAND UNIT 07,16835
H-10X,2R,BERRYHILL GLENN SAND UNIT 07,16835
G-9X,2R,BERRYHILL GLENN SAND UNIT 06,16835
4A,2D,BRUCE,11750
79,2R,R.S. LITCHFIELD,23271
83,2R,R.S. LITCHFIELD,23271
85,2R,LITCHFIELD,23271
A1,2D,JOHN S. WORK / BELL,21744
36,2R,COGEE WEST,23271
3,2D,WESTBY,16202
1,2D,E. WILSON,23271
5-16,2R,KOCHEL-BARTLESVILLE SU,23271
W-41,2R,MOSQUITO CREEK DUTCHER SAND UN,22550
W-71,2R,MOSQUITO CREEK DUTCHER SAND UT,22550
2-A,2R,CONLEY,22594
W-2,2R,BRUNER,19386
W-61,2R,MOSQUITO CREEK DUTCHER SAND UT,22550
W-1,2R,BRUNER,19386
W-4,2R,BRUNER,19386
W-6,2R,CUSHING CO-OP WF A BRUNER,19386
A-1,2R,YOUNG,22141
39,2R,COGEE WEST,23271
W-10,2R,LUTHER MANUEL,19386
G-8,2R,BERRYHILL GLENN SAND UNIT 06,16835
G-8.5,2R,BERRYHILL GLENN SAND UNIT 06,16835
H-8.5,2R,BERRYHILL GLENN SAND UNIT 06,16835
H9J,2R,BERRYHILL GLENN SAND UNIT 11,16835
H-11J,2R,BERRYHILL GLENN SAND UNIT 11,16835
K-10,2R,BERRYHILL GLENN SAND UNIT 11,16835
4,2D,WOODROW,23556
E-8,2R,BERRYHILL GLENN SAND UNIT 06,16835
1,2D,TUTTLE,16835
1,2D,QUAPAW,22349
2,2D,BRADLEY,21822
A-4,2D,PINEHILL,13682
1,2R,SAAB,21963
1,2R,OKEMAH,21963
4,2D,BADGER,23643
1,2D,BARTHOLET,10148
1-17,2D,DOTY,23380
F-7,2R,BERRYHILL GLENN SAND UNIT 06,16835
29,2D,AMY SIMPSON,23271
W-1,2R,"ARTUSSE ""A""",19386
W-7,2R,HYMAN BRUNER,19386
B-1,2D,ANTHIS,8441
58,2R,WM. B. SELF,16835
59,2R,WM. B. SELF,16835
65,2R,WM. B. SELF,16835
66,2R,WM. B. SELF,16835
73,2R,WM. B. SELF,16835
74,2R,WM. B. SELF,16835
75,2R,WM. B. SELF,16835
2-11,2R,KOCHEL BARTLESVILLE,23271
5-17,2R,KOCHEL BARTLESVILLE SU,23271
67,2R,WM. B. SELF,16835
28,2R,GOUGE,10368
1,2D,WILLIAMS-FOX,11885
K-12,2R,BERRYHILL GLENN SAND UNIT 11,16835
1-36,2D,PORTER,12924
L-9X,2R,BERRYHILL GLENN SAND UNIT 11,16835
12,2R,M. WILLIS,19470
15,2D,DAILEY,23747
2,2D,JACKSON,13470
4A,2D,BRUNER,20417
1,2D,RUTH GIMENO,18096
1,2R,ROGERS,17626
2,2R,ANTHIS,22467
CPD 1,2D,CONLEY/PAULLUS,22594
1,2D,GROOM ,23678
1,2D,INEZ BISHOP,20330
8-5W,2R,BALLENGER,11750
1,2D,SHRUM-NARDONE,17151
1,2D,LANCASTER WESTSIDE,12550
1A,2R,JOHN MOSE,23243
6,2D,MARTINDALE,23556
3,2D,MILTY,14665
4,2R,CHAMBERS #4,17151
1,2D,GRACE,10368
1,2D,JOSEPH,19794
18,2R,JOBE COLE,23271
3511-W,2R,SHELTON PONDER DUTCHER SAND U,10368
1,2D,"WORTMAN ""A""",11750
W-81,2R,MOSQUITO CREEK DUTCHER S.U.,22550
4,2D,ATON,8046
4-A,2R,HUGHES,15458
106,2R,"BERRYHILL, WILLIAM",16835
108,2R,"BERRYHILL, WILLIAM",16835
110,2R,"BERRYHILL, WILLIAM",16835
112,2R,"BERRYHILL, WILLIAM",16835
114,2R,"BERRYHILL, WILLIAM",16835
116,2R,"BERRYHILL, WILLIAM",16835
118,2R,"BERRYHILL, WILLIAM",16835
120,2R,"BERRYHILL, WILLIAM",16835
122,2R,"BERRYHILL, WILLIAM",16835
124,2R,"BERRYHILL, WILLIAM",16835
130,2R,"BERRYHILL, WILLIAM",16835
132,2R,"BERRYHILL, WILLIAM",16835
134,2R,"BERRYHILL, WILLIAM",16835
3,2D,BROWN,8046
W-4,2R,KDSU (KDSU #9 CORNELIUS #1),20342
1,2D,WILLIS,2057
1,2D,FIFE,2057
125,2R,WILLIAM BERRYHILL,16835
126,2R,"BERRYHILL, WILLIAM",16835
128,2R,"BERRYHILL, WILLIAM",16835
6,2R,LINDSEY,20720
27,2R,"WAY, VIDA M.",22550
1A,2D,CORBIN,10368
2,2D,VANCE,8610
W-2,2D,KDSU (TIGER #3),20342
2,2D,CRENSHAW,22760
33,2R,"VANCE, BEN",22550
2,2D,HAWK,3959
1,2R,ROWELL,21963
1,2R,MCANULTY,20931
1,2D,HAWK,3959
2,2D,SMITH,16144
1,2D,ASHLEY,17800
1,2D,RED EAGLE,22590
2,2D,JACOBS-MORGAN,21225
30-1,2R,YOUNG,8441
138,2R,"BERRYHILL, WILLIAM",16835
13-9,2R,SPSU,23934
1,2D,UNCLE GEORGE,20811
7,2R,LEWIS,11750
2,2R,CAPTAIN,23209
1,2D,BUSHYHEAD (ROBBIE),16202
3,2D,MARY CLARK,23556
4,2D,BROWNS CREEK,19949
9,2R,CHALENDER,11750
2,2R,COTTONWOOD,23209
1,2D,VAN ORSDOL,844
2,2D,EDMISTON,21698
2,2R,CAPTAIN SOUTH,23209
2,2R,CAPTAIN EAST,23209
2,2D,MILFORD DAVIS,20067
W-13A,2R,S GLENN SAND UNIT,17630
2,2D,DEJEAR CHAD,12561
18R7,2R,BERRYHILL GSU,16835
R8.5,2D,BERRYHILL GLENN SAND UNIT 18,16835
29-2,2R,NEASBY,21668
2-A,2D,ABRAHAM,1235
2-A,2D,MARTIN,7069
1B,2D,PICKETT,18170
3,2R,CAPTAIN,23209
P43,2R,MOSQUITO CREEK DUTCHER SU,22550
1,2D,THOMAS,23678
4,2D,HARVILL,15996
2-C,2D,"CARROLL ""C""",10148
1,2D,O'ROURKE,21963
1,2R,ADMIRAL,23209
2,2R,Y-BAR,16835
6,2D,WALKER,20864
1,2D,BOURELL,18641
2,2R,RUBY HAYNIE (MIT EXEMPT),1235
5,2D,ANTHIS,23618
2,2D,DEEBA,22282
3,2D,BOONE,20067
2-A,2D,YAHOLA,21916
3,2D,SMITH-DOOLIN,21668
1,2R,YOCHAM,10368
8,2R,HARRISON,16144
3,2R,CONNER,13989
1,2R,SINKER,13989
9,2D,BARRETT,15112
15-12W,2R,TRAVIS UNIT,19319
4,2D,TUTTLE,12561
9,2R,GRACE,10368
3,2D,CURTIS,8610
4W,2R,HOSKINS dE STEIGUE,8610
W-44,2R,MOSQUITO CREEK,22550
3,2R,HOLT,1235
3,2R,ODELL,13989
1,2R,CREEK COUNTY,10368
3,2D,Y-BAR,16835
5,2D,YAHOLA,23104
2,2D,OU,10148
9,2R,MCGRAW,10148
9,2D,CORBIN,10368
2,2R,GREEMORE,10368
2,2R,ROLLESTONE,22037
5,2R,BEGLEY,23209
1,2R,THOMAS,11750
2-27,2R,ESTATE LAND,17007
1,2R,JEREMIAH,17720
1,2R,GULLEN-KERNAL,19333
1,2D,GARRETT,16144
8,2D,BEAM,22037
1,2D,FRIDAY,16202
4,2R,KYSER,22037
1,2R,TEXACO-KERR MCGEE B,23934
1,2D,BLAYLOCK,13015
1,2D,HAPPY PUMPER,23243
2,2R,FOBES,21820
3,2D,ANNACO,17983
2,2D,SARNIE,21660
4,2R,CICHON,23209
1,2R,TOM SLICK,23209
3,2R,STEPHENSON,22349
2,2D,MORROW,18774
3,2D,OU,10148
8,2R,ROLLESTONE,22037
1,2R,RUSHING,13015
1,2R,DUNN     (NW KRFU #2-1),19736
2,2R,BEAVERS,16610
85-1,2D,NAIFEH,21175
1,2D,SWAMPWATER,21820
5-1,2R,NKRFSU GOODMAN,19736
18,2D,JOHNSON,20067
5,2D,IRMA,16835
8,2D,HOWARD,13989
1,2D,SALT CREEK,22476
1-A,2R,WASHINGTON HOLDER,22916
17,2D,JOHNSON,20067
4-3,2R,NKRFSU BUSSETT,19736
4-6,2R,NKRFSU BUSSETT,19736
2,2R,SARHILLA,17007
5-A,2D,LUSSIE HENEHA,19754
1,2D,RICHARDSON,19416
2,2R,CUPPS,23209
17,2R,JACKSON,19386
2,2D,BRISTOW CITY DUMP,13015
4,2D,TOMAHAWK,11636
11,2D,FELTON,16136
3,2D,ASHLEY CARR,17800
4,2D,ALLEN,8046
1-1,2R,NKRFSU WATASHE,19736
1A,2R,KEYWEST,23817
14,2R,BARNETT,22594
1,2D,JACKSON,19753
1,2R,MARTIN ROBISON,18170
1,2D,ESTATE,11750
6,2D,LANA PAIGE,19495
5,2D,COTTON,844
31,2R,MUSSELLEM,22550
W6,2R,JACKSON BARNETT,20976
14,2R,Y BAR,16835
33,2R,GOUGE,10368
35,2R,GOUGE,10368
14,2R,BARKER,10368
7,2D,BISHOP,23104
4,2R,CATLETT,18641
3,2R,MILES DEVIN,17800
2,2R,SPEAKMAN,10368
2,2R,HEMENWAY,10368
26,2R,NORA WILLIAMS A,22550
6-A,2R,PAULLUS,22594
W-1,2R,L. JACKSON,19386
W-2,2R,L. JACKSON,19386
1,2D,FRANCIS,19336
1A,2R,HOSKINS-DESTEIGUER,8610
1,2D,JACKSON A,20128
2,2D,LONGWOOD,18170
6,2R,DEPEW STORAGE W.I.W.,20643
5,2R,DEPEW STORAGE W.I.W.,20643
7,2R,DEPEW STORAGE W.I.W.,20643
3,2R,DEPEW STORAGE WATER INJ,20643
32,2D,MUSSELLEM,22550
2725-W,2R,SHELTON PONDER DUTCHER SAND U.,10368
3413W,2R,POLECAT CREEK R.F.(BABIE CROW),10368
1,2R,ELLISON,21963
1,2R,BENNETT,21963
6,2D,ANTHIS,7308
1,2D,CASEY,19958
1A,2D,LOST INDIAN,22998
5,2R,WILLIE,21820
2,2R,DAVIS,20128
5,2D,BATES SPRINGER,19336
1,2D,ANTHIS,15458
3,2D,DARNELL,5400
2W-10,2R,SGU,17630
2,2R,MCGEHEE,11750
17,2R,ORCUTT,21551
1,2D,DENHAM-IRELAN (ROSA),8046
1,2R,DARLIN,21902
21,2R,MIKEY,19289
19,2R,MIKEY,19289
18,2R,MIKEY,19289
5,2D,MARTIN MORGAN,21660
5,2D,MILLS,20128
3,2R,DAR-LIN,21902
7,2D,SINCLAIR,23479
3-3,2R,SCOTT DUTCHER SAND UNIT,17501
6,2R,DAR-LIN,21902
C-13,2R,BRYDEN,14156
3,2D,GRAHAM,19312
7,2R,DAR-LIN,21902
W8,2R,BRUNER,19386
2,2D,FOGLE,5400
15,2D,LENA YAHOLA,19470
JJ11,2D,JACOBS,23725
29,2D,G.W. FISHER,23271
