event_id,magnitude,mag_type,depth
nm603373,1.1,md,11.1
nm603374,2.0,md,6.2
usp0003kfy,0.9,md,5.0
nm603378,2.6,md,5.0
usp0003kzg,2.6,mblg,5.0
usp0003m2g,1.9,md,5.0
nm603390,1.5,md,11.4
usp0003mb5,1.9,mblg,5.0
usp0003mgm,1.6,mblg,5.0
usp0003mrg,2.1,mblg,5.0
usp0003msx,2.4,md,5.0
nm603421,1.6,md,8.9
nm603422,2.5,md,16.9
nm603423,1.3,md,11.7
usp0003q5v,2.8,md,0.6
nm603430,3.4,md,12.1
nm603434,1.7,md,2.6
usp0003r8y,2.6,mblg,5.0
usp0003rbb,3.4,md,7.0
usp0003rjy,2.4,md,5.0
usp0003rne,2.0,mblg,5.0
usp0003s3p,2.1,md,5.0
nm603453,1.8,md,1.6
usp0003s72,1.4,md,5.0
nm603455,1.4,md,14.4
nm603457,2.6,md,5.0
usp0003t8p,2.7,mblg,5.0
nm603460,1.7,md,6.9
nm603461,1.7,md,8.9
nm603462,1.9,md,8.8
nm603464,2.1,md,4.5
nm603465,2.2,md,1.9
nm603466,1.5,md,4.7
nm603470,1.4,md,2.2
usp0003w3e,4.0,mblg,5.0
nm603487,1.5,md,10.4
usp0003wb0,3.8,mblg,5.0
usp0003x10,2.7,mblg,5.0
usp0003x1f,2.8,ml,5.0
nm603490,1.8,md,2.7
usp0003x9z,3.4,mblg,5.0
usp0003xg5,2.7,mblg,5.0
usp0003xgb,3.1,mblg,5.0
nm603506,0.0,md,13.7
nm603519,1.1,md,2.8
nm603523,1.9,md,9.6
usp00041v5,2.5,ml,5.0
nm603547,2.1,md,5.1
nm603561,2.6,md,2.3
nm603563,1.9,md,0.5
nm603566,1.7,md,1.6
nm603577,1.7,md,11.2
nm603588,2.1,md,2.8
nm603601,2.0,md,10.9
usp000455t,2.5,md,5.0
usp00045qy,3.6,ml,5.0
nm603634,1.7,md,10.6
usp00045z9,3.9,md,5.0
nm603651,2.6,md,2.8
nm603652,2.8,md,0.4
nm603659,3.0,md,0.9
nm603679,1.2,md,2.3
nm603706,1.9,md,1.7
usp0004b7x,2.7,mblg,5.0
nm603717,2.7,md,3.3
usp0004cdb,3.7,md,10.0
nm603721,1.7,md,10.5
nm603722,1.7,md,15.1
nm603724,2.9,md,3.9
nm603725,1.4,md,2.0
nm603738,1.9,md,1.6
nm603745,2.6,md,3.7
nm603758,2.0,md,1.6
usp0004en7,3.0,ml,5.0
usp0004etd,2.5,mblg,5.0
nm603763,2.8,md,2.3
nm603767,1.1,md,10.7
nm603780,2.4,md,2.5
nm603790,1.8,md,4.9
usp0004gz5,3.9,mblg,5.0
nm603808,3.5,md,28.5
nm603826,1.8,md,10.9
nm603828,1.9,md,4.4
nm603833,1.9,md,12.1
usp0004m37,3.0,mblg,5.0
usp0004rfe,3.4,ml,5.0
usp0004rff,2.4,ml,5.0
usp0004rfh,2.0,ml,5.0
usp0004rfm,2.4,ml,5.0
usp0004sa8,3.5,mblg,5.0
nm603880,1.5,md,10.3
usp0004t79,3.5,ml,0.0
nm603883,0.8,md,14.1
nm603886,2.4,md,0.4
nm603887,3.9,md,7.8
nm603894,2.5,md,2.0
nm603895,1.7,md,5.9
nm603905,1.4,md,2.4
nm603906,1.5,md,8.9
nm603909,2.0,md,10.8
nm603910,0.6,md,2.0
usp000507h,2.9,md,14.0
usp000519d,4.6,mb,5.0
usp000521b,3.1,md,5.0
usp00053r4,1.9,md,5.0
nm603930,1.8,md,4.1
nm603932,2.3,md,12.1
usp00054jg,2.2,md,5.0
usp000557w,2.7,mblg,5.0
usp00055va,3.1,mb,5.0
usp00056tr,2.9,mb,5.0
usp00059xx,2.7,md,5.0
nm603944,2.0,md,3.6
usp0005avf,3.3,mblg,5.0
usp0005c7p,2.2,md,5.0
usp0005c8n,2.2,md,5.0
usp0005c8y,2.9,md,5.0
nm603946,2.3,md,3.8
usp0005d2n,3.0,mblg,5.0
nm603954,2.2,md,2.0
usp0005eyq,2.8,md,5.0
usp0005h1f,2.0,mblg,5.0
usp0005h2m,1.8,md,5.0
usp0005h4f,2.2,mblg,5.0
usp0005h8p,2.3,mblg,5.0
usp0005hqx,1.8,mblg,5.0
usp0005jd9,2.6,mblg,5.0
usp0005jdm,3.6,mblg,5.0
usp0005ks7,3.1,mblg,5.0
usp0005me4,2.0,mblg,5.0
usp0005pa4,2.7,mblg,5.0
usp0005q0s,2.7,md,5.0
usp0005qe3,2.9,mblg,5.0
usp0005ub3,3.2,ml,0.0
usp0005v1b,2.8,md,5.0
usp0005vr7,2.2,ml,5.0
usp0005vrc,2.5,ml,5.0
usp0005vsv,3.1,ml,5.0
usp0005vsw,2.6,ml,5.0
usp000616s,3.3,mblg,5.0
usp00064ew,3.3,md,5.0
nm604042,2.4,mlg,13.8
usp00065fs,3.2,md,10.0
usp0006bt3,3.0,mblg,5.0
usp0006e2p,3.2,mblg,5.0
usp0006f5r,2.8,mblg,5.0
usp0006ghm,2.5,ml,5.0
nm604083,3.5,md,9.9
usp0006qek,4.0,mblg,10.0
usp0006r6v,2.5,ml,5.0
usp0006rjc,4.2,mblg,5.0
usp0006sr5,3.1,mblg,5.0
usp0006ue4,3.3,mblg,5.0
usp0006um6,2.8,mblg,5.0
usp0006v6r,3.0,mblg,5.0
usp0006ye5,3.0,mblg,5.0
usp0006ztp,2.8,mblg,5.0
usp000703n,3.8,ml,5.0
nm604123,2.8,md,5.0
usp00073d2,4.1,mblg,5.0
usp00077wk,2.9,mblg,5.0
nm604133,2.1,md,13.2
usp00079ex,3.5,mb,5.0
usp00079wt,2.8,mblg,5.0
usp0007etm,2.7,md,10.0
usp0007f83,2.8,md,10.0
usp0007f84,3.3,md,10.0
usp0007f8x,3.5,mblg,5.0
nm604154,2.6,md,7.01
usp0007mdj,3.4,md,10.0
usp0007mm6,2.2,mblg,5.0
usp0007myx,3.8,mblg,5.0
usp0007myz,3.2,mblg,5.0
usp0007neq,3.1,md,10.0
nm604215,2.6,md,11.28
usp0007s88,3.2,mblg,5.0
usp0007teh,3.0,mblg,5.0
usp0007upe,2.5,mblg,5.0
nm604236,2.2,md,8.56
usp0007vn8,2.8,mblg,5.0
usp0007w1f,3.3,mb,5.0
usp0007w21,2.9,mb,5.0
usp0007w23,2.7,ml,5.0
usp0007x5e,3.0,mblg,5.0
usp0007x9k,3.2,mblg,5.0
nm604247,2.5,md,9.44
usp0007ynp,2.5,mblg,5.0
usp0007yxr,3.4,mblg,5.0
nm604268,2.6,md,4.57
usp00082k1,2.7,md,10.0
usp0008305,3.4,mblg,5.0
usp000877r,4.5,mblg,5.0
nm604307,2.6,md,7.93
usp0008cfe,2.7,mblg,5.0
usp0008d4y,2.6,mblg,5.0
usp0008dfw,3.5,ml,5.0
usp0008dfx,3.5,ml,5.0
usp0008dfy,3.4,ml,5.0
usp0008dn8,3.4,ml,5.0
usp0008dqw,3.6,mb,5.0
usp0008khk,2.7,ml,5.0
usp0008m1j,3.2,mblg,5.0
usp0008m38,3.9,mb,5.0
usp0008r4d,3.2,mblg,5.0
usp0008rfp,3.0,md,5.0
nm604424,2.7,md,3.93
usp0008xac,3.5,mblg,5.0
usp0008y0a,2.6,mblg,5.0
usp00090qx,3.0,mblg,5.0
nm60014439,2.4,md,4.52
usp00093nw,2.7,md,1.0
usp00094hc,4.0,md,1.0
usp00094ny,3.5,md,1.0
usp00097w4,3.0,mblg,5.0
usp000991w,3.9,md,10.0
usp0009ctq,2.9,md,5.0
nm60014501,2.5,md,9.1
nm60014502,3.9,md,9.51
nm60014503,3.1,md,8.99
usp0009gm3,3.0,mblg,26.1
nm60014521,2.7,md,2.95
nm604555,1.3,md,15.38
usp0009myc,2.7,mblg,5.0
usp0009n12,2.8,mblg,5.0
usp0009n5y,3.0,ml,5.0
usp0009n7z,2.5,ml,5.0
nm604626,2.1,md,6.08
nm604630,3.4,md,0.0
nm604631,2.4,md,16.91
nm604642,2.6,md,18.11
usp0009xn5,2.7,mblg,5.0
usp0009y2x,3.3,mblg,5.0
usp0009y30,3.0,mblg,5.0
usp0009y35,3.0,mblg,5.0
usp0009y8d,3.0,mblg,5.0
usp0009ym8,3.9,mblg,5.0
nm604669,3.9,mlg,10.09
nm604673,2.3,md,15.64
nm604684,2.4,md,9.88
usp000a1f3,2.6,mblg,5.0
usp000a66c,3.9,mblg,5.0
nm604751,2.0,md,4.79
usp000aau8,3.0,mblg,5.0
usp000ac8m,3.1,mblg,5.0
usp000aeak,2.5,mblg,1.0
nm604823,4.3,mw,9.02
nm604825,2.7,md,0.06
nm604827,3.1,md,6.93
nm604828,2.7,md,6.55
nm604845,2.2,md,15.47
nm604846,2.5,md,17.2
usp000afwr,3.3,mblg,5.0
usp000ak02,3.1,ml,5.0
usp000ak31,3.0,mblg,5.0
nm604896,3.2,md,0.05
usp000an75,3.4,mblg,5.0
usp000an76,3.5,mblg,5.0
usp000anmq,3.4,mblg,5.0
usp000anmr,4.0,mblg,5.0
usp000anp9,4.5,mblg,5.0
usp000anpp,3.7,mblg,5.0
usp000anr0,3.6,mblg,5.0
usp000anr7,3.5,mblg,5.0
usp000anz2,3.4,mblg,5.0
usp000ap3q,2.8,mblg,5.0
usp000ap49,3.0,mblg,5.0
usp000apjk,3.4,mblg,5.4
usp000apk4,2.6,mblg,5.0
usp000assm,3.3,mblg,5.0
usp000at9q,3.1,mblg,5.0
usp000aunc,3.3,mblg,5.0
usp000aur0,2.8,mblg,10.0
usp000awku,2.5,mblg,5.0
usp000ax4g,2.6,mblg,5.0
usp000ax5q,3.4,mblg,5.0
usp000axyk,2.8,mblg,5.0
usp000ay1d,3.8,mblg,5.0
usp000b060,2.2,mblg,5.0
usp000b1dr,2.8,mblg,5.0
usp000b2c7,2.8,mblg,5.0
usp000b59p,3.3,mblg,5.0
usp000b6dg,3.5,mblg,5.0
usp000b6g9,3.7,mblg,5.0
nm605072,2.3,md,16.57
usp000bcgs,3.4,md,10.0
usp000bchy,3.1,md,10.0
usp000beg6,2.8,ml,5.0
usp000bewb,3.4,mblg,5.0
nm605110,3.1,mlg,3.19
usp000bft7,3.0,mblg,5.0
usp000bftj,2.8,mblg,5.0
usp000bhna,3.2,mblg,5.0
usp000bkha,2.8,mblg,5.0
usp000bnbc,2.9,mblg,5.0
usp000bqmk,2.9,mblg,5.0
usp000br1f,2.2,mblg,5.0
usp000bu3c,2.8,mblg,5.0
usp000bumx,2.9,mblg,5.0
usp000bvd4,3.0,mblg,5.0
usp000bw4f,3.6,mblg,5.0
usp000byza,3.3,mblg,5.0
nm605197,2.7,md,4.92
usp000bzw8,3.6,mblg,5.0
usp000c0e4,3.6,mblg,5.0
nm605211,2.9,mlg,3.82
usp000c4t4,3.3,mblg,5.0
nm605239,3.7,mw,0.07
usp000c72e,3.0,mblg,5.0
usp000c7ec,3.8,mblg,5.0
usp000c8gs,3.3,mblg,5.0
usp000cb85,2.9,mblg,5.0
usp000cbgp,2.4,mblg,5.0
usp000cc6w,2.5,ml,5.0
usp000cdsz,3.1,mblg,5.0
usp000ceuc,2.4,md,5.0
usp000cf1d,2.4,md,5.0
nm605309,2.8,md,5.0
nm605310,2.7,md,5.0
usp000cgbb,3.5,mblg,5.0
usp000cgbh,3.1,mblg,5.0
usp000cgna,2.8,mblg,5.0
usp000chv1,2.9,mblg,5.0
